,object_ID,Centroid_X,Centroid_Y,TimePoint,Track_ID
573,574,324.7111899133176,620.548463356974,27,0
574,575,417.5940246045694,661.5079086115993,27,0
575,576,627.5533333333333,698.9945454545455,27,0
576,577,522.7792527040315,767.5791543756145,27,0
577,578,728.9568552253116,925.9242569511026,27,0
578,579,745.0453955901427,948.5304798962386,27,0
579,580,568.8283752860411,40.79176201372998,28,0
580,581,234.68743693239153,88.91977800201816,28,0
581,582,105.88260405549626,160.36997509782995,28,0
582,583,831.4110828385637,178.29177268871925,28,0
583,584,395.25572413793105,289.9925517241379,28,0
584,585,492.59838585703307,328.90122982321293,28,0
585,586,148.1719539300869,414.41685188927056,28,0
586,587,405.6317204301075,420.52329749103944,28,0
587,588,252.23179680150517,441.6777046095955,28,0
588,589,481.328313253012,458.703313253012,28,0
589,590,699.5729513657561,491.34676882078617,28,0
590,591,451.51855670103095,518.3350515463917,28,0
591,592,323.5661981039555,528.263811703171,28,0
